               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.028257,            0.013484,           0.0047333,             0.80688,             0.78636,             0.78709,             0.56351,            0.021947,           0.0090626,            0.023733,           0.0053594,           0.0053594,           0.0053594
                  77,             0.02838,            0.013504,           0.0042375,             0.79575,             0.80611,             0.77623,             0.55656,            0.021895,           0.0090681,            0.025179,           0.0052975,           0.0052975,           0.0052975
                  78,            0.028016,            0.013273,           0.0042796,             0.80663,              0.8002,             0.77862,             0.56411,            0.021501,           0.0089434,            0.025495,           0.0052356,           0.0052356,           0.0052356
                  79,            0.027675,            0.013406,           0.0042674,             0.79983,             0.80423,             0.77197,             0.56559,            0.021412,           0.0089998,            0.025064,           0.0051737,           0.0051737,           0.0051737
                  80,             0.02775,            0.013381,           0.0038691,             0.80954,             0.79902,             0.77264,             0.56433,            0.021291,           0.0089686,            0.025619,           0.0051119,           0.0051119,           0.0051119
                  81,            0.027996,            0.013281,           0.0042847,             0.80671,             0.80131,             0.77623,             0.56842,            0.021193,           0.0089164,            0.025097,             0.00505,             0.00505,             0.00505
                  82,            0.027572,             0.01314,            0.004043,             0.81534,             0.79651,             0.78341,             0.57558,            0.021003,           0.0087972,            0.024809,           0.0049881,           0.0049881,           0.0049881
                  83,            0.027784,            0.013114,            0.003968,              0.8044,              0.7973,             0.78304,             0.57441,            0.021059,           0.0088717,            0.024578,           0.0049263,           0.0049263,           0.0049263
                  84,            0.027511,             0.01329,           0.0042762,             0.81156,             0.80219,             0.78113,             0.57242,            0.020883,           0.0088367,            0.024886,           0.0048644,           0.0048644,           0.0048644
                  85,            0.027189,            0.013118,           0.0037333,             0.80569,             0.80738,             0.78046,             0.57356,            0.020823,           0.0088586,            0.025362,           0.0048025,           0.0048025,           0.0048025
                  86,            0.027089,            0.012875,           0.0040279,             0.82039,             0.77851,             0.78134,             0.57827,            0.020724,           0.0087641,            0.024479,           0.0047406,           0.0047406,           0.0047406
                  87,            0.027331,            0.013094,           0.0038481,             0.80423,             0.79488,             0.78226,             0.57602,            0.020744,           0.0087067,            0.024974,           0.0046788,           0.0046788,           0.0046788
                  88,            0.026877,             0.01296,           0.0037544,             0.79954,             0.80004,              0.7777,             0.57834,            0.020593,           0.0087331,            0.025073,           0.0046169,           0.0046169,           0.0046169
                  89,            0.027219,             0.01299,           0.0041733,             0.80425,             0.79993,             0.77086,             0.56835,            0.020581,           0.0088105,            0.025317,            0.004555,            0.004555,            0.004555
                  90,            0.026832,            0.012931,           0.0038235,             0.81196,             0.79378,             0.76851,             0.56514,            0.020576,           0.0087101,            0.025464,           0.0044931,           0.0044931,           0.0044931
                  91,            0.026832,            0.012998,           0.0040018,             0.80614,             0.78952,             0.77898,             0.57397,            0.020612,            0.008753,            0.025671,           0.0044313,           0.0044313,           0.0044313
                  92,            0.026987,            0.012894,           0.0039619,             0.80266,             0.79196,             0.77991,             0.57911,            0.020413,           0.0087723,            0.026091,           0.0043694,           0.0043694,           0.0043694
                  93,            0.026602,            0.012821,           0.0037058,             0.79807,             0.80687,             0.78085,             0.58033,            0.020252,           0.0087505,            0.025954,           0.0043075,           0.0043075,           0.0043075
                  94,            0.026561,            0.012767,           0.0036434,             0.81366,             0.78399,             0.77914,             0.57955,            0.020326,           0.0087474,            0.025906,           0.0042456,           0.0042456,           0.0042456
                  95,            0.026752,            0.012789,           0.0037796,             0.81002,             0.79675,              0.7824,             0.58443,            0.020197,           0.0087187,            0.025878,           0.0041837,           0.0041837,           0.0041837
                  96,            0.026212,            0.012612,           0.0035816,             0.82495,             0.79363,             0.77934,             0.58127,            0.020131,            0.008591,             0.02616,           0.0041219,           0.0041219,           0.0041219
                  97,            0.025866,            0.012722,           0.0035563,             0.80012,             0.80472,             0.77474,             0.57884,             0.02008,           0.0085228,            0.026001,             0.00406,             0.00406,             0.00406
                  98,            0.026053,            0.012472,           0.0034733,             0.81816,              0.7958,             0.77462,             0.58363,            0.019969,           0.0085229,             0.02626,           0.0039981,           0.0039981,           0.0039981
                  99,            0.026138,            0.012561,           0.0036273,             0.80659,             0.80427,             0.77662,             0.58384,            0.020003,           0.0085069,            0.026701,           0.0039362,           0.0039362,           0.0039362
                 100,            0.026156,            0.012375,           0.0037571,             0.81539,             0.80039,             0.77624,             0.58451,            0.019828,            0.008528,            0.026151,           0.0038744,           0.0038744,           0.0038744
                 101,            0.025607,            0.012406,           0.0032365,             0.82158,             0.79971,             0.77825,             0.58385,            0.019897,           0.0085046,            0.026622,           0.0038125,           0.0038125,           0.0038125
                 102,            0.025643,            0.012723,           0.0032949,             0.81787,             0.79462,             0.77781,             0.58868,            0.019851,           0.0084857,            0.026852,           0.0037506,           0.0037506,           0.0037506
                 103,            0.025725,            0.012379,             0.00349,             0.81889,             0.79348,             0.77619,             0.58832,            0.019817,            0.008489,            0.026522,           0.0036888,           0.0036888,           0.0036888
                 104,            0.025717,            0.012377,           0.0033968,              0.8151,             0.79432,             0.77601,             0.58564,            0.019838,           0.0084831,            0.027049,           0.0036269,           0.0036269,           0.0036269
                 105,            0.025209,            0.012245,           0.0034464,             0.81205,             0.80053,             0.77615,              0.5886,            0.019744,            0.008455,            0.026769,            0.003565,            0.003565,            0.003565
                 106,             0.02571,            0.012387,            0.003584,             0.81795,             0.79793,             0.77628,             0.58832,            0.019755,            0.008514,            0.027064,           0.0035031,           0.0035031,           0.0035031
